"time","value"
0,0
1,0.0385675414608961
2,0.0771117640661649
3,0.115609367994684
4,0.154037091478806
5,0.192371729792264
6,0.230590154191513
7,0.268669330795061
8,0.30658633938535
9,0.344318392117869
10,0.38184285212221
11,0.419137251979889
12,0.456179312063848
13,0.492946958724669
14,0.52941834230865
15,0.565571854993052
16,0.601386148423929
17,0.636840151142175
18,0.671913085783545
19,0.706584486038614
20,0.740834213358831
21,0.774642473395035
22,0.807989832155004
23,0.840857231866863
24,0.873226006535388
25,0.905077897178519
26,0.936395066731634
27,0.967160114607431
28,0.997356090899523
29,1.02696651021815
30,1.05597536514673
31,1.08436713930825
32,1.11212682003083
33,1.13923991060213
34,1.16569244210259
35,1.1914709848079
36,1.21656265915121
37,1.24095514623642
38,1.26463669789371
39,1.28759614626924
40,1.30982291294112
41,1.3313070175543
42,1.35203908596723
43,1.37201035790368
44,1.39121269410356
45,1.40963858296668
46,1.42728114668434
47,1.44413414685339
48,1.46019198956854
49,1.47544972998846
50,1.48990307637212
51,1.50354839358203
52,1.51638270605144
53,1.5284037002133
54,1.53960972638867
55,1.54999980013337
56,1.55957360304151
57,1.56833148300541
58,1.57627445393164
59,1.58340419491338
60,1.58972304885982
61,1.59523402058374
62,1.59994077434873
63,1.6038476308782
64,1.60695956382844
65,1.60928219572884
66,1.61082179339233
67,1.61158526279999
68,1.61158014346388
69,1.61081460227275
70,1.60929742682568
71,1.60703801825899
72,1.60404638357236
73,1.60033312746042
74,1.59590944365645
75,1.59078710579525
76,1.58497845780266
77,1.57849640381959
78,1.57135439766871
79,1.56356643187253
80,1.55514702623166
81,1.54611121597276
82,1.53647453947571
83,1.52625302559005
84,1.51546318055115
85,1.5041219745066
86,1.49224682766398
87,1.47985559607129
88,1.46696655704151
89,1.45359839423342
90,1.43977018240064
91,1.42550137182146
92,1.41081177242216
93,1.39572153760671
94,1.38025114780617
95,1.3644213937611
96,1.34825335955063
97,1.33176840538223
98,1.31498815015591
99,1.29793445381736
100,1.28062939951436
